# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"21.05.2020 06:00";"7.0";"746.8";"753.9";"87";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"21.05.2020 05:30";"5.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"4.0";
"21.05.2020 05:00";"3.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 04:30";"2.0";"746.6";"753.9";"100";"Штиль, безветрие";"0";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 04:00";"1.0";"746.6";"753.9";"100";"Ветер, дующий с северо-северо-востока";"1";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"1.0";
"21.05.2020 03:30";"2.0";"746.6";"753.9";"93";"Штиль, безветрие";"0";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"1.0";
"21.05.2020 03:00";"2.0";"746.6";"753.9";"100";"Штиль, безветрие";"0";"";"Поземный туман";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 02:00";"3.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 01:30";"3.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 01:00";"3.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 00:30";"4.0";"746.7";"753.9";"87";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"21.05.2020 00:00";"4.0";"746.7";"753.9";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 23:30";"5.0";"746.7";"753.9";"87";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 23:00";"5.0";"746.7";"753.9";"87";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 22:30";"6.0";"746.7";"753.9";"81";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 22:00";"7.0";"746.8";"753.9";"76";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 21:30";"8.0";"746.8";"753.9";"76";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"20.05.2020 21:00";"8.0";"746.8";"753.9";"71";"Ветер, дующий с севера";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"20.05.2020 20:30";"8.0";"746.8";"753.9";"71";"Ветер, дующий с запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"20.05.2020 20:00";"12.0";"746.9";"753.9";"47";"Ветер, дующий с севера";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"1.0";
"20.05.2020 19:30";"13.0";"746.1";"753.1";"47";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"2.0";
"20.05.2020 19:00";"12.0";"746.1";"753.1";"44";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"20.05.2020 18:30";"14.0";"746.1";"753.1";"41";"Ветер, дующий с запада";"4";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"1.0";
"20.05.2020 18:00";"14.0";"746.1";"753.1";"33";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"-2.0";
"20.05.2020 17:30";"15.0";"746.2";"753.1";"34";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-1.0";
"20.05.2020 17:00";"15.0";"746.2";"753.1";"36";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"20.05.2020 16:30";"14.0";"746.1";"753.1";"33";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-2.0";
"20.05.2020 16:00";"15.0";"746.2";"753.1";"36";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"20.05.2020 15:30";"14.0";"746.1";"753.1";"41";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"1.0";
"20.05.2020 15:00";"14.0";"746.1";"753.1";"36";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-1.0";
"20.05.2020 14:30";"14.0";"746.1";"753.1";"39";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"20.05.2020 14:00";"13.0";"746.1";"753.1";"38";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-1.0";
"20.05.2020 13:30";"12.0";"746.1";"753.1";"41";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-1.0";
"20.05.2020 13:00";"13.0";"746.1";"753.1";"41";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"20.05.2020 12:30";"13.0";"746.1";"753.1";"44";"Ветер, дующий с западо-северо-запада";"7";"12";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"1.0";
"20.05.2020 12:00";"12.0";"746.1";"753.1";"44";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"0.0";
"20.05.2020 11:30";"12.0";"746.1";"753.1";"51";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"2.0";
"20.05.2020 11:00";"12.0";"746.1";"753.1";"54";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"3.0";
"20.05.2020 10:30";"11.0";"746.1";"753.1";"54";"Ветер, дующий с западо-северо-запада";"6";"11";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"2.0";
"20.05.2020 10:00";"10.0";"746.0";"753.1";"58";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"2.0";
"20.05.2020 09:30";"10.0";"746.0";"753.1";"58";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"2.0";
"20.05.2020 09:00";"9.0";"746.0";"753.1";"62";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"2.0";
"20.05.2020 08:30";"8.0";"746.0";"753.1";"66";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"2.0";
"20.05.2020 08:00";"8.0";"746.0";"753.1";"71";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"3.0";
"20.05.2020 07:30";"8.0";"746.0";"753.1";"66";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"2.0";
"20.05.2020 07:00";"7.0";"746.0";"753.1";"71";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"2.0";
"20.05.2020 06:30";"6.0";"745.9";"753.1";"81";"Ветер, дующий с запада";"6";"11";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"3.0";
"20.05.2020 06:00";"6.0";"745.9";"753.1";"81";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 840 м";"10.0 и более";"3.0";
"20.05.2020 05:30";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"20.05.2020 05:00";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"20.05.2020 04:30";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"20.05.2020 04:00";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"3.0";
"20.05.2020 03:30";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"3.0";
"20.05.2020 03:00";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"3.0";
"20.05.2020 02:00";"5.0";"745.9";"753.1";"87";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"3.0";
"20.05.2020 01:30";"5.0";"746.7";"753.9";"81";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"2.0";
"20.05.2020 01:00";"6.0";"746.7";"753.9";"76";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"2.0";
"20.05.2020 00:30";"6.0";"746.7";"753.9";"81";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"3.0";
"20.05.2020 00:00";"6.0";"746.7";"753.9";"76";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 660 м";"10.0 и более";"2.0";
"19.05.2020 23:30";"5.0";"746.7";"753.9";"81";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 750 м";"10.0 и более";"2.0";
"19.05.2020 23:00";"6.0";"746.7";"753.9";"76";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 840 м";"10.0 и более";"2.0";
"19.05.2020 22:30";"6.0";"746.7";"753.9";"81";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Рассеянная (40-50%) 810 м";"10.0 и более";"3.0";
"19.05.2020 22:00";"6.0";"746.7";"753.9";"81";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 810 м";"10.0 и более";"3.0";
"19.05.2020 21:30";"6.0";"746.7";"753.9";"81";"Ветер, дующий с запада";"2";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 21:00";"7.0";"746.8";"753.9";"76";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 20:30";"7.0";"746.8";"753.9";"76";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 20:00";"7.0";"746.8";"753.9";"76";"Ветер, дующий с западо-северо-запада";"4";"9";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 19:30";"7.0";"747.5";"754.6";"76";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 19:00";"7.0";"746.8";"753.9";"76";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 18:30";"7.0";"747.5";"754.6";"81";"Ветер, дующий с западо-северо-запада";"6";"13";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"9.0";"4.0";
"19.05.2020 18:00";"9.0";"746.8";"753.9";"62";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"2.0";
"19.05.2020 17:30";"9.0";"746.8";"753.9";"62";"Ветер, дующий с северо-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"2.0";
"19.05.2020 17:00";"10.0";"746.8";"753.9";"62";"Ветер, дующий с западо-северо-запада";"7";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
"19.05.2020 16:30";"8.0";"746.8";"753.9";"76";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"9.0";"4.0";
"19.05.2020 16:00";"10.0";"746.8";"753.9";"58";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"2.0";
"19.05.2020 15:30";"9.0";"746.8";"753.9";"66";"Ветер, дующий с северо-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
